Coach,PassAtt,PassCmp,PassYds,PassTDs,PassInt,RushAtt,TopRushAtt,RushYds,TopRushYds,RushTDs,TopRushTDs,QbRuYds,TopTwoWrRec,TopTwoWrYds,TopTwoWrTDs,TopTeRec,TopTeYds,TopTeTDs,TopRbRecs,TopRbReYds,TopRushAttPrct,TopRushYdsPrct,TopRushTDsPrct,StartingWrRecPrct,StartingWrYdsPrct,StartingWrTDsPrct,TopTeRecPrct,TopTeYdsPrct,TopTeTdsPrct,TopRbRecPrct,TopRbReYdsPrct,CompletionPrct,YdsPerPass,YdsPerRush,TopWrRec,TopWrYds,TopWrTDs,TopWrRecPrct,TopWrYdsPrct,TopWrTDsPrct,YrsExp,Team,Position
Adam Gase,601.667,398.000,4731.333,38.667,12.333,457.333,212.667,1837.333,928.333,14.667,8.000,52.000,160.667,2337.333,17.000,53.667,572.000,9.000,46.000,420.333,0.4642,0.5047,0.5400,0.3974,0.4837,0.4134,0.1358,0.1193,0.2203,0.1157,0.0891,0.6596,7.825,4.018,85.667,1285.333,9.667,0.2131,0.2685,0.2400,3,MIA,HC
Andy Reid,546.765,324.294,3764.059,23.412,13.353,418.647,208.353,1911.529,934.294,14.059,6.882,389.412,106.059,1494.471,9.647,47.706,553.588,4.000,54.647,476.176,0.4945,0.4876,0.4879,0.3275,0.3960,0.4006,0.1469,0.1473,0.1715,0.1679,0.1264,0.5933,6.882,4.556,62.059,873.471,6.412,0.1919,0.2321,0.2650,17,KC,HC
Ben McAdoo,615.000,387.500,4487.000,33.000,14.000,426.000,206.000,1606.000,792.000,9.000,5.000,44.500,157.500,2245.000,18.000,52.500,543.500,4.500,44.500,360.500,0.4836,0.4931,0.5692,0.4066,0.5003,0.5417,0.1358,0.1212,0.1417,0.1144,0.0802,0.6301,7.297,3.781,93.500,1377.500,12.500,0.2412,0.3069,0.3806,2,NYG,HC
Bill Belichick,549.714,340.143,3981.524,27.476,12.857,451.190,199.714,1756.429,810.762,14.381,7.810,82.333,137.857,1752.476,11.286,38.190,498.000,5.476,42.857,401.762,0.4415,0.4606,0.5476,0.3988,0.4401,0.4145,0.1097,0.1193,0.1794,0.1304,0.1050,0.6171,7.238,3.878,82.143,997.286,7.571,0.2377,0.2502,0.2785,21,NE,HC
Bill Musgrave,534.143,318.857,3507.143,20.429,15.571,431.000,268.429,1942.714,1260.286,13.286,7.286,217.571,125.857,1598.429,8.714,32.429,347.857,3.000,35.857,271.857,0.6194,0.6433,0.5413,0.3928,0.4524,0.4242,0.1028,0.1010,0.1611,0.1128,0.0779,0.6051,6.647,4.454,76.000,954.000,5.429,0.2384,0.2719,0.2654,7,OAK,OC
Bill O'Brien,572.000,351.333,4265.333,30.000,12.333,487.000,208.000,1885.333,870.333,12.333,7.000,131.667,164.000,2198.667,12.667,42.667,591.667,6.667,27.333,237.667,0.4243,0.4526,0.5212,0.4728,0.5288,0.4284,0.1138,0.1236,0.1834,0.0821,0.0601,0.6139,7.438,3.872,106.000,1433.333,8.667,0.3008,0.3404,0.2943,3,HOU,HC
Brad Childress,524.700,312.800,3594.500,20.800,15.500,440.600,249.600,1955.100,1101.900,15.500,9.000,211.100,103.100,1423.600,9.800,43.100,468.000,3.700,46.900,453.400,0.5605,0.5610,0.5747,0.3300,0.3930,0.4789,0.1367,0.1306,0.1601,0.1493,0.1250,0.5962,6.858,4.414,60.500,858.300,6.200,0.1937,0.2367,0.2964,10,KC,OC
Bruce Arians,530.083,323.333,3925.750,24.083,16.000,437.500,227.500,1712.500,865.917,11.167,6.417,111.167,135.917,1901.750,12.250,38.500,426.167,3.000,35.250,306.000,0.5173,0.4999,0.5707,0.4191,0.4828,0.5218,0.1189,0.1066,0.1209,0.1099,0.0798,0.6113,7.408,3.902,79.333,1077.083,7.667,0.2453,0.2753,0.3309,12,ARI,HC
Chan Gailey,502.385,291.154,3407.154,21.000,17.538,471.923,275.846,1992.385,1179.462,14.462,8.385,259.692,121.308,1672.538,11.077,27.462,298.231,3.462,30.846,274.077,0.5791,0.5887,0.5893,0.4173,0.4903,0.5206,0.0926,0.0879,0.1597,0.1050,0.0793,0.5784,6.789,4.249,75.462,1069.000,7.000,0.2600,0.3143,0.3300,13,NYJ,OC
Chip Kelly,584.000,366.333,4442.667,27.333,16.000,472.333,273.000,2100.333,1209.333,16.667,7.000,239.667,131.000,1893.667,15.333,56.333,685.667,4.000,49.000,438.000,0.5740,0.5637,0.4162,0.3628,0.4250,0.5587,0.1508,0.1546,0.1430,0.1359,0.0987,0.6262,7.673,4.423,84.000,1215.667,9.000,0.2319,0.2732,0.3331,3,SF,HC
Chuck Pagano,622.500,363.500,4329.000,28.500,15.750,415.000,196.750,1616.000,709.250,10.250,5.000,282.000,141.250,1945.750,10.250,50.500,598.500,4.500,29.250,246.000,0.4758,0.4474,0.5470,0.3908,0.4501,0.3778,0.1395,0.1377,0.1526,0.0797,0.0573,0.5837,6.940,3.894,84.750,1226.750,6.500,0.2353,0.2839,0.2357,4,IND,HC
Clyde Christensen,601.667,371.333,3848.000,20.000,14.333,394.000,142.667,1482.667,607.333,12.667,7.000,79.000,155.000,1904.667,8.667,45.333,422.667,3.333,34.667,285.000,0.3615,0.4119,0.5583,0.4227,0.5025,0.4308,0.1194,0.1074,0.1906,0.0951,0.0754,0.6133,6.358,3.772,97.333,1193.667,5.000,0.2626,0.3119,0.2493,3,MIA,OC
Curtis Modkins,536.000,320.333,3552.667,24.000,21.000,411.333,199.667,1952.667,1035.000,10.000,5.667,235.000,125.333,1600.667,12.000,31.000,357.000,4.333,37.667,372.000,0.4856,0.5288,0.6111,0.3917,0.4516,0.5000,0.0955,0.1001,0.1806,0.1178,0.1041,0.5970,6.627,4.739,79.000,1041.000,7.667,0.2487,0.2945,0.3194,3,SF,OC
Dan Quinn,621.000,410.000,4602.000,21.000,17.000,421.000,265.000,1606.000,1065.000,13.000,11.000,59.000,179.000,2377.000,11.000,59.000,657.000,1.000,73.000,578.000,0.6295,0.6631,0.8462,0.4366,0.5165,0.5238,0.1439,0.1428,0.0476,0.1780,0.1256,0.6602,7.411,3.815,136.000,1871.000,8.000,0.3317,0.4066,0.3810,1,ATL,HC
Darrell Bevell,475.900,297.500,3502.600,21.800,13.200,487.700,282.900,2220.500,1318.500,15.900,11.000,318.100,105.300,1450.800,10.200,38.400,438.400,3.500,35.200,327.300,0.5829,0.6035,0.6804,0.3549,0.4116,0.4727,0.1282,0.1250,0.1450,0.1189,0.0939,0.6243,7.387,4.533,62.700,877.000,6.100,0.2108,0.2486,0.2825,10,SEA,OC
Dirk Koetter,544.889,340.667,3848.889,22.667,14.222,435.667,247.889,1873.333,1088.778,13.667,8.556,208.667,123.000,1653.444,9.333,48.556,547.000,4.333,46.444,396.222,0.5661,0.5722,0.6295,0.3562,0.4190,0.4074,0.1410,0.1447,0.1797,0.1407,0.1074,0.6203,7.031,4.261,70.889,967.889,5.889,0.2062,0.2440,0.2619,9,TB,HC
Doug Pederson,504.000,321.000,3494.000,20.667,7.000,432.667,208.333,2006.000,984.667,18.000,9.000,406.667,105.000,1274.000,5.667,55.000,679.667,4.333,43.667,399.333,0.4811,0.4916,0.5072,0.3278,0.3643,0.2639,0.1732,0.1956,0.2176,0.1343,0.1136,0.6381,6.953,4.635,68.000,838.333,4.333,0.2131,0.2401,0.2028,3,PHI,HC
Dowell Loggains,533.000,328.000,3710.000,22.000,16.000,462.000,279.000,1894.000,1077.000,16.000,6.000,380.000,152.000,1998.000,7.000,60.000,571.000,6.000,42.000,345.000,0.6039,0.5686,0.3750,0.4634,0.5385,0.3182,0.1829,0.1539,0.2727,0.1280,0.0930,0.6154,6.961,4.100,94.000,1079.000,4.000,0.2866,0.2908,0.1818,1,CHI,OC
Edgar Bennett,573.000,348.000,3825.000,31.000,8.000,436.000,187.000,1850.000,758.000,8.000,3.000,341.000,129.000,1719.000,14.000,58.000,510.000,8.000,43.000,392.000,0.4289,0.4097,0.3750,0.3707,0.4494,0.4516,0.1667,0.1333,0.2581,0.1236,0.1025,0.6073,6.675,4.243,79.000,890.000,8.000,0.2270,0.2327,0.2581,1,GB,OC
Frank Reich,620.500,411.000,4575.500,30.500,15.500,395.500,172.000,1362.500,611.500,5.000,3.000,64.500,125.500,1462.500,10.000,62.500,725.500,8.500,58.000,513.000,0.4351,0.4489,0.6250,0.3096,0.3232,0.3263,0.1541,0.1604,0.2769,0.1379,0.1093,0.6623,7.382,3.445,72.000,790.500,5.500,0.1771,0.1743,0.1796,2,PHI,OC
Gary Kubiak,539.667,332.905,3914.762,23.143,15.810,476.333,261.476,2081.381,1208.619,16.429,10.143,140.238,139.048,1919.524,11.667,52.905,654.857,4.667,35.905,283.762,0.5455,0.5703,0.5943,0.4170,0.4898,0.4960,0.1610,0.1695,0.2048,0.1080,0.0723,0.6167,7.250,4.352,85.952,1168.857,7.524,0.2579,0.2988,0.3214,21,DEN,HC
George Godsey,619.000,358.000,4079.000,29.000,12.000,472.000,183.000,1731.000,698.000,7.000,2.000,78.000,158.000,2179.000,15.000,20.000,251.000,2.000,26.000,227.000,0.3877,0.4032,0.2857,0.4413,0.5342,0.5172,0.0559,0.0615,0.0690,0.0726,0.0557,0.5784,6.590,3.667,111.000,1521.000,11.000,0.3101,0.3729,0.3793,1,HOU,OC
Greg Olson,560.778,329.889,3662.111,21.444,18.556,393.444,207.222,1622.444,868.000,8.444,5.333,245.556,113.889,1592.778,11.444,51.667,549.333,3.556,43.222,344.333,0.5256,0.5332,0.6441,0.3418,0.4274,0.5204,0.1599,0.1554,0.1719,0.1298,0.0924,0.5878,6.537,4.109,68.111,931.111,7.889,0.2043,0.2567,0.3975,9,JAX,OC
Greg Roman,451.200,279.400,3392.200,21.000,8.000,494.800,254.800,2268.800,1110.800,15.600,7.200,503.600,116.200,1498.200,9.600,47.400,592.600,5.800,24.000,230.600,0.5157,0.4937,0.4621,0.4155,0.4407,0.4527,0.1718,0.1771,0.2800,0.0862,0.0679,0.6192,7.532,4.587,77.000,1053.400,6.800,0.2780,0.3109,0.3176,5,BUF,OC
Gus Bradley,585.333,343.000,3876.667,22.000,19.000,364.000,183.667,1455.333,708.333,7.000,3.667,284.333,121.667,1642.000,12.333,32.333,367.667,3.667,34.667,263.667,0.5027,0.4987,0.5196,0.3536,0.4143,0.5105,0.0937,0.0941,0.1754,0.1005,0.0680,0.5860,6.609,4.010,66.333,951.333,7.667,0.1925,0.2398,0.3292,3,JAX,HC
Harold Goodwin,568.000,345.333,4352.000,26.667,15.667,423.667,204.667,1588.333,720.333,11.333,6.333,34.000,144.000,1946.000,14.000,31.000,371.667,2.000,40.333,407.667,0.4847,0.4584,0.5556,0.4149,0.4456,0.5353,0.0900,0.0862,0.0722,0.1177,0.0937,0.6080,7.666,3.728,84.667,1032.333,8.333,0.2439,0.2359,0.3198,3,ARI,OC
Hue Jackson,517.500,311.667,3681.833,21.333,16.000,455.833,215.500,1954.833,895.333,14.500,7.167,150.167,119.500,1692.333,10.000,42.167,443.500,5.167,38.500,368.333,0.4746,0.4545,0.5025,0.3817,0.4608,0.4668,0.1347,0.1196,0.2292,0.1232,0.0993,0.6026,7.127,4.263,70.833,1054.667,5.833,0.2263,0.2876,0.2671,6,CLE,HC
Jack Del Rio,503.000,299.900,3385.700,20.200,12.900,470.800,267.000,2043.900,1214.200,14.700,8.100,237.500,106.800,1424.300,9.400,33.900,383.500,2.600,43.500,369.700,0.5729,0.6025,0.5681,0.3538,0.4172,0.4620,0.1152,0.1154,0.1284,0.1461,0.1111,0.5953,6.730,4.324,61.800,820.700,6.000,0.2052,0.2405,0.2965,10,OAK,HC
Jason Garrett,558.111,360.333,4258.444,29.778,15.889,411.000,223.778,1797.333,1038.222,11.000,6.667,97.222,123.556,1843.889,17.222,85.333,930.778,5.111,43.000,327.889,0.5402,0.5775,0.5733,0.3429,0.4317,0.5728,0.2367,0.2182,0.1711,0.1211,0.0784,0.6458,7.646,4.354,76.444,1163.444,11.111,0.2127,0.2729,0.3680,9,DAL,HC
Jay Gruden,552.800,349.800,4077.400,26.000,15.800,439.200,247.600,1707.000,948.400,11.800,6.400,152.200,133.400,1821.000,13.200,60.600,650.000,5.400,35.400,321.800,0.5671,0.5545,0.5469,0.3824,0.4500,0.5058,0.1733,0.1610,0.2015,0.0998,0.0768,0.6326,7.371,3.896,80.000,1155.800,8.200,0.2295,0.2859,0.3186,5,WAS,HC
Jeff Fisher,499.600,294.950,3399.650,19.400,14.300,466.500,292.100,1927.950,1184.100,13.750,8.050,274.500,98.000,1392.650,9.700,49.600,525.200,3.100,34.250,281.200,0.6238,0.6114,0.5883,0.3318,0.4081,0.5054,0.1708,0.1567,0.1614,0.1165,0.0828,0.5891,6.802,4.136,57.100,802.650,5.700,0.1927,0.2351,0.3029,20,LA,HC
Jim Caldwell,611.500,383.667,4198.167,25.833,16.500,385.667,177.000,1409.333,681.167,10.333,6.000,94.500,157.500,2027.000,13.167,50.667,536.167,4.167,44.167,329.000,0.4584,0.4881,0.5818,0.4129,0.4876,0.5362,0.1293,0.1249,0.1522,0.1140,0.0765,0.6254,6.850,3.664,90.000,1208.667,8.000,0.2347,0.2886,0.3283,6,DET,HC
John Fox,509.857,306.714,3613.286,24.214,15.500,472.357,224.929,1941.071,984.786,13.071,7.500,91.500,134.786,1924.786,13.357,33.643,346.714,3.857,32.429,291.143,0.4761,0.5057,0.5653,0.4403,0.5304,0.5575,0.1065,0.0934,0.1488,0.1054,0.0809,0.5959,7.035,4.090,78.643,1141.214,8.500,0.2596,0.3158,0.3594,14,CHI,HC
John Harbaugh,548.375,333.875,3790.625,21.500,14.125,463.000,242.625,1891.125,1066.875,14.500,7.875,110.875,117.125,1684.875,11.125,44.375,509.250,4.625,57.250,456.250,0.5253,0.5621,0.5345,0.3569,0.4490,0.5125,0.1358,0.1355,0.2158,0.1740,0.1220,0.6088,6.944,4.076,69.750,980.875,7.125,0.2128,0.2615,0.3296,8,BAL,HC
Josh McDaniels,584.100,361.300,4191.900,28.000,10.300,452.400,195.800,1852.300,839.600,15.800,7.400,107.300,152.100,1849.300,12.900,43.200,583.900,5.100,43.700,390.000,0.4351,0.4582,0.4951,0.4180,0.4390,0.4907,0.1172,0.1371,0.1573,0.1220,0.0937,0.6178,7.159,4.079,89.300,1074.300,9.000,0.2459,0.2558,0.3432,10,NE,OC
Ken Whisenhunt,533.417,323.500,3842.750,22.750,17.833,418.083,214.500,1658.750,887.500,12.333,7.583,113.500,131.667,1782.667,12.750,37.417,425.167,3.167,31.667,255.833,0.5099,0.5285,0.6029,0.4116,0.4670,0.5780,0.1170,0.1111,0.1326,0.0946,0.0649,0.6067,7.276,3.956,76.750,1045.167,7.833,0.2433,0.2740,0.3634,12,SD,OC
Kyle Shanahan,565.000,348.875,4199.875,20.875,17.500,434.750,220.125,1825.375,965.875,14.000,7.250,232.250,139.500,1874.625,10.625,49.875,616.375,2.500,39.000,313.375,0.5020,0.5165,0.4965,0.3970,0.4415,0.5027,0.1408,0.1457,0.1218,0.1071,0.0722,0.6177,7.468,4.172,92.125,1235.000,6.500,0.2593,0.2886,0.3068,8,ATL,OC
Marc Trestman,581.000,356.273,3927.727,21.364,18.000,407.727,203.364,1579.818,807.909,13.818,6.727,184.091,142.909,1953.818,12.000,41.455,432.636,3.091,67.636,550.273,0.5041,0.5137,0.5144,0.4045,0.4995,0.5554,0.1147,0.1072,0.1388,0.1897,0.1389,0.6104,6.739,3.874,86.273,1197.364,7.636,0.2430,0.3054,0.3501,11,BAL,OC
Marvin Lewis,534.000,332.846,3717.615,25.077,16.000,454.385,268.000,1788.462,1068.077,12.308,8.154,116.538,153.000,2031.769,14.692,38.000,384.231,3.615,34.308,268.538,0.5928,0.5985,0.6592,0.4591,0.5462,0.5940,0.1148,0.1030,0.1401,0.1018,0.0713,0.6232,6.957,3.928,87.308,1228.846,8.923,0.2622,0.3309,0.3585,13,CIN,HC
Mike McCarthy,543.438,333.688,4022.188,28.250,13.125,431.563,244.125,1784.875,1015.438,12.313,6.750,239.750,138.250,1988.500,15.438,35.000,385.375,3.938,39.125,315.313,0.5646,0.5656,0.5290,0.4160,0.4964,0.5751,0.1017,0.0924,0.1338,0.1208,0.0814,0.6126,7.377,4.131,80.938,1185.938,9.750,0.2447,0.2986,0.3662,17,GB,HC
Mike McCoy,562.857,356.286,4162.857,28.000,13.000,448.857,210.571,1790.143,876.286,9.143,5.000,180.429,131.571,1776.857,14.143,46.000,528.286,4.429,43.143,388.571,0.4684,0.4874,0.5764,0.3724,0.4298,0.5144,0.1248,0.1246,0.1513,0.1167,0.0921,0.6280,7.362,3.944,75.857,1034.429,8.714,0.2151,0.2492,0.3252,7,SD,HC
Mike Mularkey,530.000,316.333,3600.500,21.667,15.583,461.750,245.583,1869.500,1020.250,12.583,8.250,151.167,139.167,1872.250,12.417,44.083,455.750,3.500,30.583,242.167,0.5278,0.5449,0.6464,0.4463,0.5236,0.5847,0.1325,0.1217,0.1526,0.0968,0.0673,0.5967,6.814,4.022,86.250,1071.167,8.083,0.2765,0.2990,0.3799,12,TEN,HC
Mike Shula,473.429,274.143,3175.714,22.000,14.429,494.000,215.000,1970.143,876.143,12.143,7.857,331.857,91.714,1217.143,8.571,47.143,575.000,5.000,40.286,374.286,0.4339,0.4434,0.6338,0.3342,0.3848,0.3722,0.1637,0.1688,0.2314,0.1524,0.1265,0.5832,6.737,3.984,52.714,717.286,5.714,0.1914,0.2260,0.2489,7,CAR,OC
Mike Sullivan,540.000,301.000,3662.500,24.500,14.500,418.000,228.000,1724.500,993.000,9.500,8.000,98.000,118.500,2022.000,14.000,50.500,503.000,4.500,39.000,325.500,0.5465,0.5608,0.8397,0.3923,0.5487,0.5648,0.1683,0.1422,0.1877,0.1286,0.0851,0.5578,6.755,4.127,75.000,1304.000,8.000,0.2498,0.3594,0.3258,2,NYG,OC
Mike Tomlin,540.444,345.333,4209.000,26.444,13.889,436.222,246.111,1765.889,1018.556,11.778,7.556,126.222,152.000,2118.778,14.333,57.667,635.222,3.778,35.444,332.000,0.5616,0.5738,0.6393,0.4388,0.5027,0.5497,0.1667,0.1517,0.1405,0.1002,0.0766,0.6379,7.787,4.044,91.111,1283.333,8.889,0.2602,0.3019,0.3428,9,PIT,HC
Mike Zimmer,485.500,308.000,3406.000,15.500,13.500,443.500,245.500,2007.500,1027.500,15.000,10.000,215.000,96.000,1261.500,7.000,36.500,376.500,3.500,37.000,267.000,0.5435,0.4938,0.6806,0.3116,0.3702,0.4496,0.1206,0.1124,0.2374,0.1193,0.0779,0.6352,7.024,4.516,55.500,731.000,5.000,0.1801,0.2149,0.3193,2,MIN,HC
Norv Turner,522.320,308.520,3722.240,21.480,15.920,439.160,269.120,1797.280,1124.240,14.840,10.040,96.360,100.680,1637.480,10.200,45.680,529.280,4.560,51.320,393.280,0.6043,0.6100,0.6645,0.3280,0.4414,0.4822,0.1474,0.1414,0.2098,0.1671,0.1063,0.5923,7.136,4.077,61.560,1004.280,6.560,0.2009,0.2707,0.3119,25,MIN,OC
Pete Carmichael,645.000,440.571,5019.571,37.143,15.429,406.143,160.857,1730.143,713.714,14.000,5.571,38.429,134.000,1881.143,13.714,74.000,885.429,8.571,59.143,472.429,0.3976,0.4188,0.4130,0.3050,0.3761,0.3727,0.1671,0.1736,0.2270,0.1343,0.0926,0.6835,7.794,4.242,77.000,1058.000,7.714,0.1753,0.2113,0.2107,7,NO,OC
Pete Carroll,498.800,300.000,3639.500,22.800,13.900,454.100,255.200,1891.300,1086.200,12.000,8.300,276.300,104.300,1519.200,9.700,42.000,482.500,3.400,32.700,265.500,0.5662,0.5886,0.6912,0.3488,0.4178,0.4310,0.1395,0.1322,0.1423,0.1092,0.0735,0.6045,7.350,4.103,62.500,886.900,5.800,0.2084,0.2438,0.2532,10,SEA,HC
Rex Ryan,485.857,275.429,3258.857,17.714,16.857,512.429,237.429,2226.857,997.429,14.714,7.571,273.143,96.429,1334.714,9.143,44.857,522.000,3.571,31.429,259.143,0.4634,0.4559,0.5149,0.3530,0.4124,0.4982,0.1633,0.1601,0.2070,0.1121,0.0777,0.5666,6.719,4.328,56.286,819.714,5.571,0.2070,0.2538,0.3057,7,BUF,HC
Rick Dennison,552.875,339.250,3976.250,21.250,16.250,450.750,227.500,2005.625,999.375,14.250,8.625,97.000,145.250,1925.750,9.625,44.500,556.625,4.625,36.375,296.500,0.4971,0.4925,0.5819,0.4246,0.4837,0.4532,0.1310,0.1394,0.2198,0.1094,0.0749,0.6131,7.203,4.458,90.750,1213.875,5.875,0.2648,0.3063,0.2772,8,DEN,OC
Ron Rivera,505.800,302.600,3819.200,24.400,12.800,477.800,189.200,2168.000,843.600,18.000,10.400,645.400,111.400,1608.400,10.800,69.600,862.200,5.800,28.800,269.800,0.3938,0.3898,0.5696,0.3685,0.4198,0.4441,0.2303,0.2273,0.2424,0.0951,0.0710,0.5984,7.555,4.554,66.600,1012.000,7.000,0.2202,0.2629,0.2858,5,CAR,HC
Scott Linehan,589.154,354.538,4115.308,24.308,18.462,419.615,211.154,1815.154,896.077,11.923,6.462,189.615,134.615,1902.615,13.692,49.615,493.538,3.385,46.923,432.769,0.5011,0.4955,0.5737,0.3813,0.4632,0.5588,0.1384,0.1196,0.1354,0.1331,0.1054,0.6017,6.987,4.310,85.769,1258.231,9.462,0.2426,0.3035,0.3776,13,DAL,OC
Sean McVay,551.000,371.500,4377.500,24.000,14.500,415.000,233.500,1628.500,912.500,12.000,6.500,153.500,127.500,1651.000,9.500,68.500,729.500,6.000,38.500,390.500,0.5659,0.5573,0.5444,0.3432,0.3761,0.4167,0.1835,0.1677,0.2111,0.1039,0.0889,0.6742,7.946,3.934,70.000,973.000,6.000,0.1884,0.2215,0.2667,2,WAS,OC
Sean Payton,613.167,405.250,4628.750,30.500,15.000,429.333,184.333,1751.333,826.250,15.167,7.000,38.500,128.417,1820.083,13.167,55.083,635.333,5.167,63.583,511.000,0.4253,0.4722,0.4706,0.3210,0.3996,0.4539,0.1321,0.1322,0.1534,0.1617,0.1133,0.6584,7.540,4.077,77.917,1075.917,7.917,0.1955,0.2372,0.2771,12,NO,HC
Terry Robiskie,414.800,217.600,3033.000,20.200,18.800,454.200,180.000,1844.600,742.200,10.000,4.800,145.400,88.400,1476.800,9.600,34.800,449.800,3.400,20.000,204.000,0.3975,0.4023,0.4363,0.4131,0.4870,0.4747,0.1618,0.1485,0.1682,0.0917,0.0672,0.5256,7.393,4.059,51.800,849.400,6.000,0.2412,0.2795,0.2964,5,TEN,OC
Todd Bowles,604.000,362.000,4170.000,33.000,16.000,448.000,247.000,1868.000,1070.000,11.000,7.000,304.000,189.000,2529.000,26.000,5.000,77.000,1.000,47.000,388.000,0.5513,0.5728,0.6364,0.5221,0.6065,0.7879,0.0138,0.0185,0.0303,0.1298,0.0930,0.5993,6.904,4.170,109.000,1502.000,14.000,0.3011,0.3602,0.4242,1,NYJ,HC
Todd Haley,565.889,352.889,4100.000,26.111,15.667,427.222,216.111,1720.222,963.444,10.222,6.778,96.333,150.000,2005.556,15.667,42.222,447.111,2.778,42.333,383.667,0.5118,0.5623,0.6506,0.4196,0.4858,0.5875,0.1199,0.1096,0.1061,0.1215,0.0944,0.6209,7.201,3.987,93.000,1292.889,9.667,0.2603,0.3124,0.3660,9,PIT,OC
Rob Chudzinski,527.000,294.500,3644.500,21.167,18.333,424.167,207.000,1839.333,834.000,12.667,6.500,325.500,111.667,1713.167,9.833,57.833,686.833,5.000,32.500,271.333,0.4883,0.4560,0.5186,0.3788,0.4654,0.4454,0.1934,0.1841,0.2423,0.1080,0.0733,0.5588,6.935,4.316,71.500,1197.000,7.167,0.2423,0.3260,0.3175,6,IND,OC
Average Coach (median of means),546.765,333.875,3848.889,23.412,15.500,439.160,220.125,1839.333,963.444,12.667,7.167,153.500,131.000,1820.083,11.444,45.680,525.200,4.000,39.000,332.000,0.504,0.506,0.568,0.392,0.450,0.496,0.136,0.132,0.168,0.118,0.085,0.611,7.127,4.100,77.917,1069.000,7.636,0.238,0.274,0.318,7.000,NFL,HC/OC
